ID,Description,GeneRatio,p.adjust,Count,geneID
hsa04510,Focal adhesion,32/712,0.0053377033256975,32,LAMC2/LAMA3/ITGAV/LAMB3/BIRC3/PRKCG/COL9A2/ITGA2/ITGB8/ITGA3/CTNNB1/LAMA5/LAMC1/BCAR1/RAP1B/CAV1/PDGFB/ITGB6/THBS2/VEGFA/CAV2/COL6A1/RAC2/LAMA4/RASGRF1/COL1A1/PIK3CD/VAV1/TNXB/PDGFC/LAMA1/ITGA9
hsa04918,Thyroid hormone synthesis,14/712,0.0064914578666394,14,DUOX2/DUOXA2/ATP1B1/PRKCG/GPX2/CREB3L1/CREB3L2/ADCY5/DUOX1/PRKACB/PAX8/GPX3/CREB5/ATP1A3
hsa04010,MAPK signaling pathway,43/712,0.0068496006798568,43,NFKB2/RELB/PRKCG/DUSP5/CSF1/TNF/NFKB1/TGFA/RRAS/RAP1B/MAP4K4/ARRB2/PDGFB/DUSP16/MAP3K1/GADD45A/PLA2G4C/VEGFA/DUSP8/FOS/NTRK2/PRKACB/CACNG8/TRAF2/RAC2/TGFBR1/CACNA2D3/MAPK11/FGF2/DUSP1/MAP3K8/EFNA1/CACNB1/RASGRF1/DUSP10/FGF19/NFATC1/PDGFC/DUSP2/CD14/HSPA1L/FGF18/IL1B
hsa05150,Staphylococcus aureus infection,10/712,0.0072567535722604,10,PTAFR/C3/ICAM1/HLA-DRB1/HLA-DRA/ITGAM/CFB/C5/HLA-DRB5/CFD
hsa05340,Primary immunodeficiency,7/712,0.0092772557580617,7,IL2RG/TAP1/TAP2/RFX5/CD40/CIITA/LCK
hsa04062,Chemokine signaling pathway,25/712,0.0097219299666446,25,NFKBIA/CXCL8/CCL20/CX3CL1/CXCL1/CXCL3/STAT3/CXCL16/NFKB1/BCAR1/CXCL2/RAP1B/CXCL11/ARRB2/FOXO3/NFKBIB/ADCY5/PRKACB/LYN/RAC2/CCL2/PIK3CD/VAV1/PREX1/CXCL6
hsa05171,Coronavirus disease,35/712,0.0103677099970662,35,NFKBIA/CXCL8/TMPRSS2/PRKCG/C3/IL6ST/STAT3/IKBKE/TNF/TRAF3/OAS3/NFKB1/IFNAR2/NFKBIB/CFB/JAK1/RIGI/OAS1/FOS/CGAS/TLR4/TLR2/MX1/IFIH1/CSF2/MAPK11/CCL2/PIK3CD/C5/ISG15/IL6R/TLR3/CFD/CASP1/IL1B
hsa04625,C-type lectin receptor signaling pathway,19/712,0.0107290416647725,19,NFKBIA/NFKB2/RELB/BCL3/IRF1/IKBKE/TNF/NFKB1/RRAS/IL23A/CYLD/MAPK11/NFATC2/PIK3CD/NFATC4/NFATC1/EGR3/CASP1/IL1B
hsa04933,AGE-RAGE signaling pathway in diabetic complications,19/712,0.0107290416647725,19,CXCL8/SMAD3/STAT5A/ICAM1/STAT3/TNF/NFKB1/F3/NOX1/EDN1/FOXO1/VEGFA/TGFBR1/MAPK11/CCL2/COL1A1/PIK3CD/NFATC1/IL1B
hsa05143,African trypanosomiasis,7/712,0.0127678394014113,7,PRKCG/ICAM1/TNF/LAMA4/APOL1/APOA1/IL1B
hsa05412,Arrhythmogenic right ventricular cardiomyopathy,14/712,0.0152045660294687,14,ITGAV/ITGA2/ITGB8/DSC2/ITGA3/CTNNB1/ITGB6/CACNG8/CACNA2D3/CACNB1/SSPN/DMD/LAMA1/ITGA9
